ref_x,ref_y,ref_theta,ref_curve
456589.0582,4425344.5984,1.6096,0.0034
456589.0503,4425344.7996,1.6103,0.0034
456589.0423,4425345.0007,1.6110,0.0033
456589.0341,4425345.2018,1.6116,0.0033
456589.0259,4425345.4028,1.6123,0.0031
456589.0175,4425345.6037,1.6129,0.0030
456589.0089,4425345.8046,1.6135,0.0028
456589.0003,4425346.0054,1.6140,0.0026
456588.9916,4425346.2061,1.6145,0.0023
456588.9828,4425346.4068,1.6150,0.0021
456588.9738,4425346.6074,1.6153,0.0018
456588.9649,4425346.8080,1.6157,0.0015
456588.9558,4425347.0085,1.6159,0.0011
456588.9468,4425347.2089,1.6161,0.0008
456588.9377,4425347.4093,1.6162,0.0004
456588.9285,4425347.6096,1.6163,0.0000
456588.9194,4425347.8098,1.6163,-0.0004
456588.9103,4425348.0100,1.6161,-0.0008
456588.9013,4425348.2101,1.6160,-0.0012
456588.8923,4425348.4102,1.6157,-0.0016
456588.8833,4425348.6102,1.6153,-0.0020
456588.8745,4425348.8101,1.6149,-0.0025
456588.8657,4425349.0100,1.6143,-0.0029
456588.8571,4425349.2099,1.6137,-0.0034
456588.8486,4425349.4096,1.6130,-0.0038
456588.8402,4425349.6093,1.6122,-0.0042
456588.8320,4425349.8090,1.6113,-0.0047
456588.8240,4425350.0086,1.6103,-0.0051
456588.8163,4425350.2081,1.6092,-0.0055
456588.8087,4425350.4076,1.6081,-0.0060
456588.8014,4425350.6071,1.6069,-0.0064
456588.7943,4425350.8064,1.6055,-0.0068
456588.7875,4425351.0058,1.6042,-0.0071
456588.7811,4425351.2150,1.6026,-0.0066
456588.7749,4425351.4156,1.6013,-0.0067
456588.7689,4425351.6163,1.5999,-0.0069
456588.7630,4425351.8313,1.5992,-0.0055
456588.7574,4425352.0334,1.5981,-0.0054
456588.7520,4425352.2356,1.5970,-0.0053
456588.7468,4425352.4377,1.5959,-0.0052
456588.7418,4425352.6400,1.5949,-0.0051
456588.7370,4425352.8422,1.5939,-0.0050
456588.7325,4425353.0445,1.5929,-0.0048
456588.7281,4425353.2468,1.5919,-0.0047
456588.7239,4425353.4491,1.5910,-0.0046
456588.7199,4425353.6514,1.5901,-0.0044
456588.7161,4425353.8538,1.5892,-0.0043
456588.7125,4425354.0561,1.5883,-0.0042
456588.7090,4425354.2586,1.5875,-0.0040
456588.7057,4425354.4610,1.5867,-0.0039
456588.7025,4425354.6634,1.5859,-0.0037
456588.6996,4425354.8659,1.5852,-0.0036
456588.6967,4425355.0684,1.5845,-0.0034
456588.6940,4425355.2709,1.5838,-0.0033
456588.6914,4425355.4735,1.5832,-0.0031
456588.6890,4425355.6760,1.5826,-0.0029
456588.6867,4425355.8786,1.5820,-0.0028
456588.6845,4425356.0812,1.5814,-0.0026
456588.6824,4425356.2839,1.5809,-0.0025
456588.6804,4425356.4865,1.5804,-0.0023
456588.6784,4425356.6892,1.5800,-0.0021
456588.6766,4425356.8919,1.5796,-0.0020
456588.6749,4425357.0946,1.5792,-0.0018
456588.6732,4425357.2973,1.5788,-0.0016
456588.6716,4425357.5001,1.5785,-0.0015
456588.6701,4425357.7029,1.5782,-0.0013
